SYMBOL,PN,TYPE,DATE,VOL
NG,N/A,QMLE-Trade,31/08/2022,0.546716
NG,N/A,QMLE-Trade,01/09/2022,0.522964
NG,N/A,QMLE-Trade,02/09/2022,0.641154
NG,N/A,QMLE-Trade,06/09/2022,0.790917
NG,N/A,QMLE-Trade,07/09/2022,1.2087
NG,N/A,QMLE-Trade,08/09/2022,0.569796
NG,N/A,QMLE-Trade,09/09/2022,0.487898
NG,N/A,QMLE-Trade,12/09/2022,0.602231
NG,N/A,QMLE-Trade,13/09/2022,0.539386
NG,N/A,QMLE-Trade,14/09/2022,0.644618
NG,N/A,QMLE-Trade,15/09/2022,0.729037
NG,N/A,QMLE-Trade,16/09/2022,0.669043
NG,N/A,QMLE-Trade,19/09/2022,0.737798
NG,N/A,QMLE-Trade,20/09/2022,0.607213
NG,N/A,QMLE-Trade,21/09/2022,0.639778
NG,N/A,QMLE-Trade,22/09/2022,0.652601
NG,N/A,QMLE-Trade,23/09/2022,0.750201
NG,N/A,QMLE-Trade,26/09/2022,0.755481
NG,N/A,QMLE-Trade,27/09/2022,0.60348
NG,N/A,QMLE-Trade,28/09/2022,0.71062
NG,N/A,QMLE-Trade,30/09/2022,0.653342
NG,N/A,QMLE-Trade,03/10/2022,0.687257
NG,N/A,QMLE-Trade,04/10/2022,0.71376
NG,N/A,QMLE-Trade,05/10/2022,0.666653
NG,N/A,QMLE-Trade,06/10/2022,0.630459
NG,N/A,QMLE-Trade,07/10/2022,0.602339
NG,N/A,QMLE-Trade,10/10/2022,0.602657
NG,N/A,QMLE-Trade,11/10/2022,0.628137
NG,N/A,QMLE-Trade,12/10/2022,0.664744
NG,N/A,QMLE-Trade,13/10/2022,0.677789
NG,N/A,QMLE-Trade,14/10/2022,0.54658
NG,N/A,QMLE-Trade,17/10/2022,0.641619
NG,N/A,QMLE-Trade,18/10/2022,0.72753
NG,N/A,QMLE-Trade,19/10/2022,0.694303
NG,N/A,QMLE-Trade,20/10/2022,0.784816
NG,N/A,QMLE-Trade,21/10/2022,0.808952
NG,N/A,QMLE-Trade,24/10/2022,0.757839
NG,N/A,QMLE-Trade,25/10/2022,0.721335
NG,N/A,QMLE-Trade,26/10/2022,0.694837
NG,N/A,QMLE-Trade,27/10/2022,0.782599
NG,N/A,QMLE-Trade,28/10/2022,0.621449
NG,N/A,QMLE-Trade,31/10/2022,0.844073
NG,N/A,QMLE-Trade,01/11/2022,0.782432
NG,N/A,QMLE-Trade,02/11/2022,0.80073
NG,N/A,QMLE-Trade,03/11/2022,0.803022
NG,N/A,QMLE-Trade,04/11/2022,0.799044
NG,N/A,QMLE-Trade,07/11/2022,0.9231
NG,N/A,QMLE-Trade,08/11/2022,0.8424
NG,N/A,QMLE-Trade,09/11/2022,0.96629
NG,N/A,QMLE-Trade,10/11/2022,0.882492
NG,N/A,QMLE-Trade,11/11/2022,1.07878
NG,N/A,QMLE-Trade,14/11/2022,0.931447
NG,N/A,QMLE-Trade,15/11/2022,0.830042
NG,N/A,QMLE-Trade,16/11/2022,0.836887
NG,N/A,QMLE-Trade,17/11/2022,0.839769
NG,N/A,QMLE-Trade,18/11/2022,0.783805
NG,N/A,QMLE-Trade,21/11/2022,0.704985
NG,N/A,QMLE-Trade,22/11/2022,0.738385
NG,N/A,QMLE-Trade,23/11/2022,0.722989
NG,N/A,QMLE-Trade,25/11/2022,0.721744
NG,N/A,QMLE-Trade,28/11/2022,0.835083
NG,N/A,QMLE-Trade,29/11/2022,0.665122
NG,N/A,QMLE-Trade,30/11/2022,0.781734
NG,N/A,QMLE-Trade,01/12/2022,0.721151
NG,N/A,QMLE-Trade,02/12/2022,0.727485
NG,N/A,QMLE-Trade,05/12/2022,0.837543
NG,N/A,QMLE-Trade,06/12/2022,0.831362
NG,N/A,QMLE-Trade,07/12/2022,0.835042
NG,N/A,QMLE-Trade,08/12/2022,0.922985
NG,N/A,QMLE-Trade,09/12/2022,0.906663
NG,N/A,QMLE-Trade,12/12/2022,0.840366
NG,N/A,QMLE-Trade,13/12/2022,0.807957
NG,N/A,QMLE-Trade,14/12/2022,0.835362
NG,N/A,QMLE-Trade,15/12/2022,0.812232
NG,N/A,QMLE-Trade,16/12/2022,0.908801
NG,N/A,QMLE-Trade,19/12/2022,0.75817
NG,N/A,QMLE-Trade,20/12/2022,0.833715
NG,N/A,QMLE-Trade,21/12/2022,0.793429
NG,N/A,QMLE-Trade,22/12/2022,0.834615
NG,N/A,QMLE-Trade,23/12/2022,0.731784
NG,N/A,QMLE-Trade,27/12/2022,0.797312
NG,N/A,QMLE-Trade,28/12/2022,0.945509
NG,N/A,QMLE-Trade,29/12/2022,0.882583
NG,N/A,QMLE-Trade,30/12/2022,0.792491
NG,N/A,QMLE-Trade,03/01/2023,0.947059
NG,N/A,QMLE-Trade,04/01/2023,0.816129
NG,N/A,QMLE-Trade,05/01/2023,0.896938
NG,N/A,QMLE-Trade,06/01/2023,1.10235
NG,N/A,QMLE-Trade,09/01/2023,0.928003
NG,N/A,QMLE-Trade,10/01/2023,1.00489
NG,N/A,QMLE-Trade,11/01/2023,1.10695
NG,N/A,QMLE-Trade,12/01/2023,1.08636
NG,N/A,QMLE-Trade,13/01/2023,0.975402
NG,N/A,QMLE-Trade,17/01/2023,0.859505
NG,N/A,QMLE-Trade,18/01/2023,0.930944
NG,N/A,QMLE-Trade,19/01/2023,1.05895
NG,N/A,QMLE-Trade,20/01/2023,0.935823
NG,N/A,QMLE-Trade,23/01/2023,1.16611
NG,N/A,QMLE-Trade,24/01/2023,0.737056
NG,N/A,QMLE-Trade,25/01/2023,0.867705
NG,N/A,QMLE-Trade,26/01/2023,0.99428
NG,N/A,QMLE-Trade,27/01/2023,0.981634
NG,N/A,QMLE-Trade,30/01/2023,0.965753
NG,N/A,QMLE-Trade,31/01/2023,0.753463
NG,N/A,QMLE-Trade,01/02/2023,0.76764
NG,N/A,QMLE-Trade,02/02/2023,0.891723
NG,N/A,QMLE-Trade,03/02/2023,0.69711
NG,N/A,QMLE-Trade,06/02/2023,0.702774
NG,N/A,QMLE-Trade,07/02/2023,0.69783
NG,N/A,QMLE-Trade,08/02/2023,0.792939
NG,N/A,QMLE-Trade,09/02/2023,0.848582
NG,N/A,QMLE-Trade,10/02/2023,0.757788
NG,N/A,QMLE-Trade,13/02/2023,0.771173
